"text","label"
"@united What are the chances of my flight to EWR from PIT being Cancelled Flighted tomorrow?","neutral"
"@united thanks, it was my first time in a United lounge and felt welcomed.","positive"
"@united Pay for a cab back to the airport to show baggage dept. my wet shirts and suit is not a viable option. 2nd time this has happened!!","negative"
"@united when I click that link it wants my flight info. I haven't booked a flight yet. I read you waive fees for military, it this true?","neutral"
"@united lost my bags and there was a flight from Chi to Eri that landed over 1.5 hrs ago...yet still have zero updates?? #UnitedAirlinesSux","negative"
"@united ouch not fair","negative"
"@united ... frozen lines on flight, not continuing due to 'passenger comfort'? Not ok, sat on the plane as long as a flight to Vegas would !","negative"
"@united line full of worried customers and guy at desk says so sorry you will have to take care of your problems Late Flightr I don't have time.","negative"
"@united Waiting half an hour for my checked bag at EWR (&amp; that was Priority); disappointing, usually you guys are good.","negative"
"@united is by far the worst airline ever ??ò°??ò°","negative"
"@united Did you get your 757 Model?","neutral"
"@United why not charge for 2nd carryon instead of checked bag? Less jockeying for overhead space, happier passengers, more ontime departures","neutral"
"@United give me a direct number I can call regarding my lost baggage immediately.","negative"
"@united thank you","positive"
"@united Cancelled Flights your flight then sends you an email saying ""think about your next flight..."" #customer #outrage http://t.co/KkwiwI97A4","negative"
"@united help me, united! I paid for economy plus on a flight that was changed BC of delay. Will I be automatically refunded?","negative"
"@united thanks for the epic service on 863- always a pleasure- outstanding crew http://t.co/trqlpeinzW","positive"
"@united all set. Figured it out at the baggage office!","neutral"
"@united Life goal: complete ??îÔ??","positive"
"@united I'd really like to get off of this plane now.","negative"
"@united any plans of restating nonstop service between IAD and South Florida?  We miss our flights to FLL.","neutral"
"@united 6 minutes to boarding at b12 in Ord. No sign of gate agent. A little help?","negative"
"@united we are the airline that has Cancelled Flightled flights TOMORROW to the NYC area","negative"
"@united I see. Thanks for explaining.","positive"
"@united !!!!! YAAYY!!! YAY PROM!!!! http://t.co/DXicoyioxF","neutral"
"@united But it's doubtful he'll fly United again and he will be traveling a lot as a sales manager covering all of North America","negative"
"@united Great!  I'm guessing you were Late Flight to open, service is horrible, you're overcharging, and don't care that everyone is miserable.","negative"
"@united 132 characters does not cover my reasons I'm afraid","negative"
"@United terrible illogical re-route after Cancelled Flightled connection. Then made me pay to check bag. Then lost bag. #ual","negative"
"@united yes to more food! Add some gluten free options while you're at it","positive"
"@united @airlines. Agents arguing about check bag announcement. Looked for room until seat 20, gave up and walked back to seat 7.Unnecessary","negative"
"@united ""most likely"" makes it sound like you have no idea, which is not how I want my flights to be. Please use facts thanks.","negative"
"@United #767 taxing in at #ORD @fly2ohare @AirlineGeeks #avgeek http://t.co/uPocMmuLUN","neutral"
"@united it's done.  If you do something to make up for it I'll tweet that too.","neutral"
"@united Gate Agent Alavera is amazing","positive"
"@united - sitting in seat 10D on a flight back from Vegas to Chicago.  Someone left a folder that looks important in the seat pocket. (1/2)","neutral"
"@united Yes but unbelievable.  Should have a free fare lock","negative"
"@united Why can I only apply one travel certificate per itinerary even when I have multiple flights?","negative"
"@united thanks for more timely updates.","positive"
"@united Thank you for your offer! All sorted out :-)","positive"
"@united the new seats on the Canadaair regional jets just plain suck.","negative"
"@united boarded 6373 on time, deplaned, and now 100 minutes delay. No transparency during. Can't wait to give up my gold status for AA.","negative"
"?ú@united: @LRuns4Cupcakes Please DM details, we'd like to help if you need assistance. ^KP?? @ClarkHoward #Another #Airlines #Issues","neutral"
"@united thnx!","positive"
"@united what do I do if something is missing from my checked baggage?","neutral"
"@united I need a breakdown of what the ""international surcharge"" on my flights cover. Please help","neutral"
"@united https://t.co/jpd7NsGRT7. Fyi your staff are telling customers to try other carriers","negative"
"@united Based on suggestions from other passengers I have a rental car on standby for 11:30.  One way or another will be leaving then.","neutral"
"@united education of that staff is needed - he also turned away other first class cabin passengers with mileage plus.","negative"
"@united then send your Jeff Smisek on a trip with JetBlue or SW and make sure he takes notes. I would never choose to fly United again.","negative"
"@United pre-dawn flight to #miami from #EWR. Annual #SOBEWFF trip. Now.","neutral"
"@united U kept passengers waiting all night 4 a plane that was being put out of service.  Leaving everyone stranded for night. #inexcusable","negative"
"@united please do! She went above and beyond what she had to do, she made us her number one priority!","positive"
"@united you guys are awesome! Thanks!","positive"
"@united hey, left my computer bag, w/computer inside, in United, filed online report, no response","negative"
"@united Also, a United phone representative just asked me for my web password. Is that normal?","neutral"
"@United What's your phone number? Customer service question.","neutral"
"@united fantastic night of waiting 3 hours for a delayed airplane, only for you to alert us flight is Cancelled Flighted when it lands. #whatstatus","negative"
"@united sent you my confirmation via DM. Thank you very much","positive"
"@united can you help 689 in Chicago get to a gate. Freezing on a runway seems like a crappy thing to do at 9pm","negative"
"@united Want to book a multi-city fare. Have miles for 1of 2 flights. An option to pay for 1st flight with miles +2nd with UMP Visa? Thanks!","neutral"
"@united Leaving soon. Thanks!","positive"
"@United Stars and Bars @iah #A320 @airlineguys @AirlineGeeks #avgeek http://t.co/mWSoGUC33p","neutral"
"@united @annricord Great! Appreciate it????","positive"
"@united I was well taken care of, thanks. I've already been sent a survey request &amp; I'll share my positive experience (despite delay)","positive"
"@united Got a call. Bag is to be delivered tonight. Thanks for your reply!!","positive"
"@united please reroute Oregon Women's Tennis to Santa Barbara. There's supposedly another connection from LA.","neutral"
"@united DM the conf # to you - did you receive it?","neutral"
"@united Contacted yesterday and was told that there's nothing they can do - they suggested I email for some compensation ??? cust service???","negative"
"@united you need to follow me I order for me to DM....","neutral"
"@united UA5029 from RIC, UA507 from ORD, &amp; UA423 from DEN -ALL DELAYED for non-weather issues. Way to go, youre batting 1.000! But no hotels","negative"
"@united thanks","positive"
"@united okay - thanks for your help, JT! I appreciate your time!","positive"
"@united We invite to Fallow @HelacoHLC learn about our activities.Prevention Programs of Health by Condom-Rito Family.We R 501(C)(3)Thanks","neutral"
"@united Thanks, I will!","positive"
"@united yes, I want to complain. Your coworker was neither. Is there a customer service point airside?","neutral"
"@united why does it cost $547 to change the city of origin when the same flight on http://t.co/8FMZZOltv9 costs $165 #customerservicefail","negative"
"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir","positive"
"@united they are all -pilots, FA and ground personnel doing a great job. Weather is to blame... Who do I talk to about that :)","positive"
"@united you have the nicest gate attendant at Newark airport gate 101 right now. Multiple delays and she is still pleasant with everyone.","positive"
"1/2 @united Just be honest with your customers. The new seats are designed to fit more rows on the plane. More rows = more money.","negative"
"@united missing this wedding because of these delays would not be cool","negative"
"@united Designed to deter people from forgetting things or to provide more storage space? The article says the latter #unfriendlyskies","negative"
"@united if I have credit from a flight I Cancelled Flightled does the new flt have to be booked by 1 yr from orig purchase date or flown by that date?","neutral"
"@united thank you. There was one here a few months ago, but none now. Weird you don't have a club in one of the busiest airports in the US.","positive"
"@united how come it's cheaper to fly to BKK than NRT even though to get to BKK you take an extra flight, from NRT!","neutral"
"@united we have been told that it's lost...you guys don't know where it is","negative"
"@united we are never going to get to out gate at this rate.","negative"
"@united Ugh.  My bags were sent to Palm Springs and not to LAX as promised.  They better be at the hotel when I get there.","negative"
"@united #UnitedAirlines fill out form and never receive response? I expect remedy. We can travel another airline and Cancelled Flight as members w u.","negative"
"@united awesome. Thx. And thx for replying so damn fast, sure as hell beats 80s cheeze hold music!!","positive"
"@united @gg8929 Unbelievable hypocrisy!!","negative"
"@united Call customer service and of course they just say ""theres nothing we can do"" and then offer a transfer and disconnect the line.","negative"
"@united 877 from amsterdam to ewr, 02.27.2015, 737-300.","neutral"
"@united No. The entire problem here is that I was never sent anything via email and only given a Flight Booking Problems number over the phone.","negative"
"@united Can you explain how it rewards us elite Premiere 1K members?","neutral"
"@united can you send me another confirmation email?","neutral"
"@united customer service ????","negative"
"@united i need my confirmation number! Can you give it to me?","neutral"
"@SouthwestAir still waiting. Just hit one hour.","negative"
"@SouthwestAir never mind, I moved my flight to tomorrow. Thanks for the help!","positive"
"@SouthwestAir round-trip tickets just arrived for our auction at the Post-Masters Invitational! Thanks Southwest! http://t.co/mRfBjtePef","positive"
"@SouthwestAir ""Airport snow removal method #22..""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/7poFSXOjSY","positive"
"@SouthwestAir Rapid Rewards program sold me short. #Lasttweetaboutthis but still #disappointed.","negative"
"@SouthwestAir where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are","negative"
"@SouthwestAir live in Atlanta but cant enroll in your Atlanta companion promotion. Error every time. Can you help? Also sent email. Thanks!","neutral"
"@SouthwestAir @PHLAirport Will Flight 2155 that arrives at E11 be a penguin plane?","neutral"
"@SouthwestAir Thank you for the tip!","positive"
"@SouthwestAir I urgently need two receipts sent but CS is closed. Can you help?","neutral"
"@SouthwestAir I was not the one traveling. I was asking for my sister who was waiting on my nephew in Midland...flight eventually landed","neutral"
"@SouthwestAir quick question - i bought wifi for my phone, do I have to buy it again on my tablet? I have 9 hours left on my trip","neutral"
"@southwestair cool shot of the moon and one of your fleet http://t.co/kl9BAiMES6","positive"
"@SouthwestAir I love this airline so much! Thanks so much! The service is great! The snacks are amazing! Everything is outstanding thanks!!","positive"
"@SouthwestAir forget wedding fairs. How about discounts for nonprofits? We donate part of our worth every single day","neutral"
"@SouthwestAir When will your phone agents be able to give the correct departure times for CUN? When can we checkin online for international?","negative"
"@SouthwestAir should offer cdn border towns incentive to fly since exchange rates are #hurt. #customerappreciation #gaincustomers #keepem2","neutral"
"@SouthwestAir in flight wifi + @TMobile wifi calling makes for the best combination. Who doesn't love texting 40,000 feet in the air :D","positive"
"@SouthwestAir how much is ur wifi fam","neutral"
"@SouthwestAir Could you maybe hook (@FuyukaiDesuYo ) with some imagine dragon tickets tonight! SHES a HUGEEEEE FAN &amp; would really love to go","neutral"
"@southwestair #netneutrality Nice to see you prioritize Internet traffic to your own streaming service over other web sites!","positive"
"@SouthwestAir Just go ahead and start the scavenger hunt after 5 pm today when work is over ;) #DestinationDragons","positive"
"@SouthwestAir thanks!!","neutral"
"@SouthwestAir done. Sorry, I thought I was already.","neutral"
"@SouthwestAir Thanks for the quick reply!  I travel a lot...but not that much, lol.","positive"
"@SouthwestAir res chg online/app no work, still on hold, faster for hubby to DRIVE to airport to make change @ counter #fail","negative"
"@SouthwestAir : Hello..are flights taking off from @DallasLoveField airport this noon. Am supposed to travel on flight 376 to San antonio","neutral"
"@SouthwestAir to start 2xdaily #B737-700 flights from #OrangeCounty to #Portland OR on 8AUG #avgeek","neutral"
"@SouthwestAir  Just sent DM. Thanks for your attentiveness to this matter.","positive"
"@SouthwestAir thank you for the confirmation. Maybe people on my flight have directional dislexia.","positive"
"@SouthwestAir - really?  All other carriers are staffed and you've got a triple looped one and no employees in sight in OKC","negative"
"@SouthwestAir yes I was everything worked out great","positive"
"@SouthwestAir kudos to the crew of flight 1050 to GRR for making a very special memory for a sweet young passenger, and her Momma. Well done","positive"
"@SouthwestAir Thank you SWA and Shannon G. @LASairport (C22) for being a miracle worker! #awesome","positive"
".@SouthwestAir Well, we all need something to aim for.","neutral"
"@SouthwestAir I would love a +1 #RedCarpet  treatment","neutral"
"@SouthwestAir how do I get my companion pass?","neutral"
"@SouthwestAir How about auto check in for CP holders? Come on.","negative"
"@SouthwestAir sign me up!","positive"
"@SouthwestAir Traveling with a 13 year old Thursday. He does not need an ID, correct?","neutral"
"@SouthwestAir I tweeted several times last week about flight info during storm, always a timely tweet back.  Thx! ????","positive"
"@SouthwestAir your hold music sounds like it's from Super Mario Bros for gameboy color","neutral"
"@SouthwestAir props to your LAS employees working C11 gate. Because of them I am not opposed to flying through or to LAS in the future! ???è??è???","positive"
"@SouthwestAir ohk. Thank You!!! B/C of the inexpensive airfares that Southwest has I can now travel around.","positive"
"@SouthwestAir - just got it back about 20 mins ago. Went about 18 hrs w/o it but I appreciate the support. $50 voucher + $50 for essentials.","positive"
"@SouthwestAir BTW I was completely unable to buy wifi for my flight using Galaxy S4. Couldn't zoom out or scroll to touch ""Buy""","negative"
"@SouthwestAir For the past 2 yrs I earned A-list status thru a promo-fly 3 rnd trips in 2-3 months. How can I get that option again? #loyal","neutral"
"@SouthwestAir can you help","neutral"
"@SouthwestAir Thx to customer service rep ALEX for his patient help in reFlight Booking Problems a Cancelled Flighted flight and getting us where we have to be tmrw!","positive"
"@SouthwestAir flying flight 3130 tomorrow at 7:20 from PBI- I have boarding position C-42. Is flight overbooked? Have funeral to attend!","neutral"
"@SouthwestAir 50min to get bag checked n ATX, miss my flight, spend all day @BWI, n not get my baggage at the end of it all.  #epitimeoffail","negative"
"@SouthwestAir sending now via dm","neutral"
"@SouthwestAir Thanks for making good on @PoteetTJ 's Cancelled Flightled flight.","positive"
"@SouthwestAir Have a cup coffee and relax while you check out the New Deals and Promotions at Avon, twice a month at Doug @dcoadavon","neutral"
"@SouthwestAir three cheers to your Denver staff. Don't know if we 
will get out but they're keeping us smiling. http://t.co/RX8z53M7yy","positive"
"@SouthwestAir I had to switch airlines and eat the difference (which was not insubstantial) and Cancelled Flight all plans for sat &amp; sun :(","negative"
"@SouthwestAir replacing @vitaminwater with beer! Bravo!???è??? Cheers! ??çª??çª @Leinenkugels @DosEquis @FatTire","positive"
"@SouthwestAir i like to see if i can change flight plz help thx","neutral"
"@SouthwestAir hey southwest! Can I see @Imaginedragons in Atlanta? My friend has never been there, loves them, and he is from Taiwan!","neutral"
"@SouthwestAir I know where that is! Alas I live far, far away now. #Books","neutral"
"@SouthwestAir don't you think a 4hr wait time to speak to an actual agent is ridiculous?! My flight was Cancelled Flightled this morning! #Getyourlife","negative"
"@SouthwestAir Any chance there's a few seats open from DEN to DAL this afternoon?","neutral"
"@SouthwestAir departing MDW it's cold 26F, windy with snow on the ground for sunny and 70F las vegas  @LASairport http://t.co/2IR7ynMBdU","neutral"
"@SouthwestAir can u follow so I can DM a confirmation number I need confirmed to Cancelled Flight?
I will call to confirm Monday for refund","neutral"
"@SouthwestAir thanks. What's your opinion on chances of getting in okay tomorrow?","neutral"
"@SouthwestAir can you follow me so I can send the DM?","neutral"
"@SouthwestAir My husband a first time flyer with you has had the worst experience on board a aircraft just a few minutes ago.","negative"
"@SouthwestAir you guys need better communication to your customers. This is rude and unprofessional.","negative"
"@SouthwestAir when does today's scavenger hunt start? I'm trying to help my little brother win! #DestinationDragons","neutral"
"@SouthwestAir I'm stuck in Fort Lauderdale.","negative"
"@SouthwestAir  @TheEllenShow @Imaginedragons  @kdepetro313 .what a great first night. #DestinationDragons http://t.co/N3LrFo4UaY","positive"
"@SouthwestAir flt 3867 crew  #OrangeCounty to #Denver is The #BEST! Weather delay but pilots just invited the kids to see the cockpit! #luv","positive"
"@SouthwestAir Show Jacksonville some ???ùtoo!  We want #3ticketsforJax!","neutral"
"@SouthwestAir we are trying to go as far away from King'sCollegeLondon as possible for charity today. Would you help us ? #jailbreak #RAG","neutral"
"@SouthwestAir - did SWA send out customer surveys to earn $100 toward flights? Is this legit?","neutral"
"@SouthwestAir it was 3472","neutral"
"@SouthwestAir how do I find travel funds I have available to use f/ past changed flights? don't see an option in my account.","neutral"
"@SouthwestAir thanks for the ride to Chicago. #kmdw #b738 http://t.co/6cpYPGFnD6","positive"
"@SouthwestAir you guys held our flight #330!  Thank you!!!  About to take off from MDW now to Oakland.  Thanks","positive"
"@SouthwestAir rocks! Open letter to flight attendant. http://t.co/zFrOINPSzI  &lt; my child was inspired.  Thank you.","positive"
"@SouthwestAir thanks for an awesome flight and connection! We were delayed but your staff and crew were purely amazing!","positive"
"@SouthwestAir Ahah???É??ï?éµ That is why
I love SW??à‚??(^^)?ù§","positive"
"@SouthwestAir OMG OMG OMG !!! I JUST DID!!","neutral"
"@SouthwestAir @JulGood1 she was traveling with me the one that got miscommunicated with","negative"
"@SouthwestAir do you have special fares for students to visit prospective schools?  It's expensive to visit graduate programs.","neutral"
"@SouthwestAir PLEASE HELP! I would die to see the Vegas show! It would be amazing to hear their songs for real!","neutral"
"@SouthwestAir   Happily, flight 1625 was not delayed when a cockpit visit blew my four-yr-old's mind. Thanks, Cap'n! http://t.co/C8mqEzXVdH","positive"
"@SouthwestAir get me on flight 4146 to denver and I'll be more than happy !!!!!","neutral"
"@SouthwestAir Thanks Lindsey &amp; the Southwest twitter team for great service &amp; a speedy resolution #LuvAgent #swa","positive"
"@SouthwestAir When is the last chance to win #DestinationDragon ???","neutral"
"@SouthwestAir make this delay go away. Maybe upgrade me and Kats seats. We are headed to Columbus.","negative"
"@SouthwestAir Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!","positive"
"@SouthwestAir Can you please follow so I can DM? Thx!","neutral"
"@SouthwestAir Received awesome phone help from Jim today. Helped me switch around flights booked with points.","positive"
"@SouthwestAir Thank you! I can't wait either :)","positive"
"@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!","negative"
"@SouthwestAir I would love to go to the Atlanta show ?ô•Ô∏?","positive"
"@SouthwestAir appreciate the reply, hopefully those LAX agents get the memo. Cheers!","positive"
"@SouthwestAir good to know. Perhaps it was execution then.","neutral"
"?ú@SouthwestAir: @AMiltx3 You are forgiven most loved Customer,,,it's as if you never left :) ^LL?? that's why you're bae ?ù§Ô∏?","positive"
"@SouthwestAir :( Thanks for the opportunity...","positive"
"@SouthwestAir might be the worst airline ever","negative"
"@southwestair *any site*?   gmail, facebook, etc.","neutral"
"@SouthwestAir My boyfriend and I have LOVED @Imaginedragons since 2009 &amp; it would be so awesome to go to Vegas event. Any way you can help?","positive"
"@SouthwestAir you should know the crew today on flight #1071 AUS to PDX was awesome! #SWA","positive"
"@SouthwestAir if this flight is Cancelled Flighted or delayed any further I expect full compensation for my park ticket, hotel &amp; flight..","negative"
"@SouthwestAir Why doesn't mean TSA PreCheck show up on my mobile boarding pass? My KTN is linked to my account.","negative"
"@SouthwestAir Again, please accept my apologies for my lame, childish tweet. You didn't deserve that, &amp; I remain a LOYAL SW customer!","positive"
"@SouthwestAir @FortuneMagazine Congrats!","positive"
"@SouthwestAir @FortuneMagazine Love flying Southwest! Best flight attendants ever!","positive"
"@SouthwestAir @FortuneMagazine I DO like your airlines, congrats! : )","positive"
"@SouthwestAir great. My flight is delayed three hours. Now my friend has to wait for me at the airport for hours on her birthday. ???í???","negative"
"@SouthwestAir Is there anyway to pay more to get priority boarding A 1-15?","neutral"
"@SouthwestAir my PR class would luv to know who's in charge of your Twitter. How many people write your tweets? #gracias","neutral"
"@SouthwestAir do new flights come out at midnight?","neutral"
"@SouthwestAir filing it now. Thank you for your response.","positive"
"@SouthwestAir Whoa. Thanks and that's what I wanted to hear! Early flight coming up. Thanks for the reply.","positive"
"@SouthwestAir @Imaginedragons  Did they pick someone for Destination Dragons?","neutral"
"@SouthwestAir So far so good! http://t.co/16c9ex79Rk","positive"
"@SouthwestAir @ PIT- Gate A1! Big shout out to the lady trying to track him down!","positive"
"@SouthwestAir - I just had a great experience with your customer service team. Thank you! #LuvSW A-list","positive"
"@SouthwestAir thank you for handling this for me. Glad Southwest cares about what it's flyers think!","positive"
"@SouthwestAir did you pick the winners for the #DestinationDragons ?? #87yearsLate Flightr #maybeijustlost #whyyounoloveme","neutral"
"@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.","neutral"
"@SouthwestAir why would I want to when the last time I did, you screwed me out of my early boarding that I PAID FOR.","negative"
"@SouthwestAir Are you announcing any more winners to the #DestinationDragons @Imaginedragons  show @VelourLive in UTAH this weekend? #Lucky","neutral"
"@southwestair Great job celebrating #MardiGras2015 .  You own the industry . Another reason I'm nuts for you! http://t.co/8WBzOrRn3C","positive"
"@SouthwestAir just added #passbook support to their iOS application! Finally, I get to add them to my collection. http://t.co/lEdNoCdQee","positive"
"@SouthwestAir allows you to change a flight once for no fee, yay! I will always book flights with them. @AmericanAir changes you $200","positive"
"@SouthwestAir sure,I'll send a message now!","neutral"
"@SouthwestAir I have a flight to Vegas coming up soon, but haven?ôt received any drink tickets Late Flightly. Can you help me out?","neutral"
"@SouthwestAir @karajusto SWA is willing to follow up. FINALLY.","neutral"
"@SouthwestAir In my letters to follow, I will be sure to include my Rewards Number, twitter handle, and email address.","neutral"
"@SouthwestAir when will you have flights for October 2015 available?","neutral"
"@SouthwestAir CEO discusses possibilities of NHL Vegas arena naming rights http://t.co/t3E4SH5xNg @SMUSportMgt #sportsbiz","neutral"
"@SouthwestAir just did last night. Thanks for following up. :)","positive"
"@SouthwestAir Not possible to carry-on and put in a closet/overhead? Had success doing that with other airlines. Thanks","neutral"
"@SouthwestAir I am scheduled for the morning, 2 days after the fact, yes..not sure why my evening flight was the only one Cancelled Flightled","negative"
"@SouthwestAir big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!","positive"
"@SouthwestAir Got it covered. Thanks!","positive"
"@SouthwestAir Glad it was finally resolved too. Too bad I can't get a free voucher to go with mine so I can have a friend travel next time!","positive"
"@SouthwestAir thanks for the drink tickets hook up! Can't wait for my first international flight with you to NAS! #pumped","positive"
"@SouthwestAir took our carryon bag with essential attire for a life changing interview tomorrow &amp; it's not here; can we expect compensation?","negative"
"@SouthwestAir Im just praying you get me home alive","negative"
"@SouthwestAir needed my flight info so I can add my rapid rewards to my flight ... First time I have flown with SW - won't do it again #mad","negative"
